Index,Location,AccessibleTo,Category,Time,Address,Name,Timings,Image
1,T2,Public,Attractions,4-5 hours,Level 2,A Million Times at Changi,24 hours,http://www.changiairport.com/content/dam/cag/discover/attractions/a-million-times-at-changi/1140x425-lvl3_masthead-million_times.jpg
2,T1,Public,Attractions,4-5 hours,Level 1,Arrival Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-arrival_gardens.jpg
3,T3,Transit,Attractions,4-5 hours,Level 3,Birds in Flight,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-birds.jpg
4,T3,Transit,Attractions,4-5 hours,Levels 2 and 3,Butterfly Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-butterfly_garden.jpg
5,T1,Transit,Attractions,4-5 hours,Level 3,Cactus Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-cactus_garden.jpg
6,Jewel,Public,Attractions,4-5 hours,Level 5,Canopy Bridge,10 AM - 10 PM,https://mothership.sg/wp-content/uploads/2019/05/View-of-the-Canopy-Bridge.jpg
7,Jewel,Public,Attractions,4-5 hours,Level 5,Canopy Park,10 AM - 12 AM,https://mothership.sg/wp-content/uploads/2019/05/View-of-the-Canopy-Park-768x512.jpg
8,Jewel,Public,Attractions,4-5 hours,Level 4,Changi Experience Studio,10 AM - 10 PM,"https://cna-sg-res.cloudinary.com/image/upload/q_auto,f_auto/image/11580522/16x9/991/557/6fade2bab9556893d74c5f3d3bbb71ab/xW/jewel-changi-airport-changi-experience-studio---game-mimicking-porsche-and-boeing-747-race.jpg"
9,T3,Transit,Attractions,4-5 hours,Level 1,Coming Home,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-coming_home.jpg
10,T3,Transit,Attractions,4-5 hours,Level 2,Crystal Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-crystal_garden.jpg
11,T3,Public,Attractions,4-5 hours,Level 2,Daisy,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-daisy.jpg
12,T1,Transit,Attractions,4-5 hours,Level 2 ,Discovery Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-sculptural_tree.jpg
13,Jewel,Public,Attractions,4-5 hours,Level 5,Discovery Slides,10 AM - 12 AM,https://cdn.archpaper.com/wp-content/uploads/2019/04/Discovery-Slides-at-Canopy-Park.jpg
14,T2,Transit,Attractions,4-5 hours,Level 2,Enchanted Garden,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-enchanted_gardens.jpg
15,T4,Transit,Attractions,4-5 hours,Level 2,Entertainment Corner,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-entertainment_corner.jpg
16,T3,Public,Attractions,4-5 hours,Level 2,Floral Inspirations,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-floral_inspirations.jpg
17,Jewel,Public,Attractions,4-5 hours,Level 5,Foggy Bowls,10 AM - 12 AM,https://cdn.businesstraveller.com/wp-content/uploads/2019/04/11.jpg
18,Jewel,Public,Attractions,4-5 hours,Level 5,Hedge Maze,10 AM - 10 PM,https://www.straitstimes.com/sites/default/files/styles/xxx_large/public/articles/2019/05/31/lwx_jewel2_310519_54.jpg?itok=BMp3wy9e&timestamp=1559263849
19,T4,Transit,Attractions,4-5 hours,Level 2,Heritage Zone,24 hours,Heritage Zone
20,T4,Public,Attractions,4-5 hours,Level 2,"Hey, Ah Chek!",24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-ah_chek.jpg
21,Jewel,Public,Attractions,4-5 hours,Heart of Forest Valley,HSBC Rain Vortex,8 AM - 12 30 AM,https://chueonit.files.wordpress.com/2019/04/jewel-changi-airport-hsbc-rain-vortex-2.jpg?w=1240&h=816
22,T4,Transit,Attractions,4-5 hours,Level 2,Immersive Wall,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-immersive_wall.jpg
23,T1,Public,Attractions,4-5 hours,Level 2,Kinetic Rain,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-kinetic_rain.jpg
24,T4,Public,Attractions,4-5 hours,Levels 1 and 2,Les Oiseaux,24 hours,http://www.changiairport.com/content/dam/cag/attractions/desktop-1140x425/1140x425-lvl3_masthead-les_oiseaux.jpg
25,Jewel,Public,Attractions,4-5 hours,Level 5,Manulife Sky Nets - Bouncing,10 AM - 10 PM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
26,Jewel,Public,Attractions,4-5 hours,Level 5,Manulife Sky Nets - Walking,10 AM - 10 PM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
27,Jewel,Public,Attractions,4-5 hours,Level 5,Mirror Maze,10 AM - 10 PM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
28,T2,Transit,Attractions,4-5 hours,Level 2,Orchid Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
29,T4,Transit,Attractions,4-5 hours,Level 2,Peranakan Gallery,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
30,Jewel,Public,Attractions,4-5 hours,Level 5,Petal Gardens,10 AM - 12 AM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
31,T4,Transit,Attractions,4-5 hours,Level 2,PetalClouds,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
32,T1,Transit,Attractions,4-5 hours,Level 2,Piazza Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
33,T3,Transit,Attractions,4-5 hours,Level 1,Saga Seed,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
34,Jewel,Public,Attractions,4-5 hours,Shisiedo Forest Valley,Shisiedo Forest Valley,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
35,T4,Public,Attractions,4-5 hours,Basement 1,Singapore Rojak,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
36,T4,Transit,Attractions,4-5 hours,Level 2,Steel in Bloom,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
37,T2,Transit,Attractions,4-5 hours,Level 3,Sunflower Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
38,T3,Transit,Attractions,4-5 hours,Level 2,The Memory of Lived Space,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
39,T3,Public,Attractions,4-5 hours,Level 1 ,The Slide@T3,12 AM - 1030 PM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
40,T1,Transit,Attractions,4-5 hours,Level 2,The Social Tree,6 AM - 1 AM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
41,Jewel,Public,Attractions,4-5 hours,Level 5,Topiary Walk,10 AM - 12 AM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
42,T4,Transit,Attractions,4-5 hours,Level 2,Travelling Family,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
43,T3,Transit,Attractions,4-5 hours,Level 2 ,Vessel,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
44,T1,Public,Attractions,4-5 hours,Level 3,Viewing Malls 1,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
45,T2,Public,Attractions,4-5 hours,Level 3,Viewing Malls 2,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
46,T3,Public,Attractions,4-5 hours,Level 4,Viewing Malls 3,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
47,T1,Transit,Attractions,4-5 hours,Level 2,Water Lily Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg