Index,Location,Name,url,Image
1,T1,"Level 2, Departure Transit Hall East (near Gate C16) ",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t1.png
2,T2,"Level 2, Departure Transit Hall North (next to Harry’s Bar and opposite the Children’s Play Area)","https://www.google.com/maps/place/Harry's+Changi+Airport+T2/@1.3552171,103.9859716,18z/data=!4m8!1m2!2m1!1sharrys+bar+changi+airport!3m4!1s0x31da3c8db8a4fbff:0x76754a4f96f40fa!8m2!3d1.3550052!4d103.9890398",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t2.png
3,T3,"Level 2, Departure Transit Hall North (next to Harry's Bar)","https://www.google.com/maps/place/Harry's+at+Terminal+3/@1.3552171,103.9859716,18z/data=!4m8!1m2!2m1!1sharrys+bar+changi+airport!3m4!1s0x31da3cc043c1c557:0x9163b26ac9d39820!8m2!3d1.355429!4d103.985092",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
4,T4,"Level 2, Departure Transit Hall North (near Gate G4)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t4.png
,T1,"Level 3, Departure Transit Hall West (near Cactus Garden)","https://www.google.com/maps/place/Cactus+Garden+-+Changi+Airport+T1/@1.3591128,103.9859654,16z/data=!4m8!1m2!2m1!1ssmoking+areas+changi+airport!3m4!1s0x31da3c8a0633b549:0x50aceb4ef5449caf!8m2!3d1.363016!4d103.9891547",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t1.png
,T1,"Level 2, Departure Transit Hall West (Outdoor Deck)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t1.png
,T1,"Level 2, Departure Transit Hall East (near Gate D36)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t1.png
,T2,"Level 3, Departure Transit Hall South (Sunflower Garden)","https://www.google.com/maps/place/Sunflower+Garden/@1.3403599,103.9105522,13z/data=!4m19!1m13!4m12!1m4!2m2!1d103.9027994!2d1.335575!4e1!1m6!1m2!1s0x31da3c8de16e5a27:0xb5e784f652d28f84!2ssunflower+lounge+changi+airport!2m2!1d103.9893045!2d1.3538055!3m4!1s0x31da3c8de16e5a27:0xb5e784f652d28f84!8m2!3d1.3538055!4d103.9893045",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t2.png
,T2,"Level 2, Departure Transit Hall, South Finger Pier (Pavilion Lounge)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t2.png
,T2,"Level 2, Departure Transit Hall, North Finger Pier (Sanctuary Lounge)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t2.png
,T2,"Level 2, Departure Transit Hall South (behind the Sunglass Hut)","https://www.google.com/maps/place/Sunglass+Hut/@1.3283982,103.9093434,13z/data=!4m8!1m2!2m1!1ssunglass+hut!3m4!1s0x31da3c8db8a4fbff:0xcf71d4deb6e48552!8m2!3d1.3559078!4d103.9892267",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t2.png
,T3,"Level 3, Departure Transit Hall, Outdoor Smoking Area (next to the SilverKris Lounge)","https://www.google.com/maps/place/SilverKris+Lounge/@1.3283987,103.9093434,13z/data=!4m19!1m13!4m12!1m4!2m2!1d103.9027994!2d1.335575!4e1!1m6!1m2!1s0x31da3c8d450f6989:0x7ee4a49c3d120714!2ssilverkris+lounge+changi+airport!2m2!1d103.9848772!2d1.3545402!3m4!1s0x31da3c8d450f6989:0x7ee4a49c3d120714!8m2!3d1.3545402!4d103.9848772",https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
,T3,"Level 2, Departure Transit Hall, Outdoor Smoking Area, (opposite Gate B10)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
,T3,"Level 2, Departure Transit Hall, Outdoor Smoking Area (next to Gate A21)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
,T3,"Level 2, Departure Transit Hall South (Outdoor Garden Terrace)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
,T3,"Level 2, Departure Transit Hall South (next to the Tiger Signature Lounge)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t3.png
,T4,"Level 2, Departure Transit Hall North",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t4.png
,T4,"Level 2, Departure Transit Hall North Pier (near Gate G16)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t4.png
,T1,"Level 3, Departure Transit Hall Central (near Snooze Lounge)",http://www.changiairport.com/en/airport-guide/facilities-and-services/smoking-areas.html,https://changi-max-web.mybluemix.net/changi_airport_features/smoking_areas_t1.png
,,,,